,Vtest,Vrecon,BV0,BV1,BH0,BH1,W00,W01,W10,W11,epoch,trainingstep,analogZero,DA0,DV0,DV1,DH0,DH1,RA0,RV0,RV1,RH0,RH1,aV0,aV1,aH0,aH1,MSE
0,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [0, 1], [1, 1], [0, 1], [1, 1], [1, 1], [1, 1], [1, 1], [0, 1], [1, 1], [0, 1]]",-3,-3,0,-3,12,-16,18,-1,-1,-1,,,,,,,,,,,,,,,,0.8
1,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [0, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [0, 1], [1, 1], [1, 1], [1, 1], [1, 1], [0, 1]]",-4,-3,0,-3,11,-16,18,-1,0,0,1.9692014652014653,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.9851575091575093,1.9862857142857144,2.0054652014652015,1.9422857142857144,0.85
2,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [0, 1], [1, 1], [1, 1], [1, 1]]",-5,-3,0,-3,10,-16,18,-1,0,1,1.9704908424908427,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.9801611721611723,1.9883809523809526,2.0044981684981686,1.9413186813186813,0.95
3,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[0, 1], [0, 1], [0, 1], [1, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [1, 1], [1, 1], [1, 1], [0, 1], [1, 1], [1, 1], [1, 1], [1, 1], [0, 1]]",-6,-3,0,-3,9,-16,18,-1,1,2,1.9704908424908427,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.9759706959706962,1.9870915750915752,2.0032087912087913,1.9424468864468867,0.6914213562373095
4,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[0, 1], [1, 1], [1, 1], [1, 1], [0, 1], [1, 1], [0, 1], [0, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [1, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1]]",-6,-3,0,-2,9,-16,18,0,1,3,1.9719413919413922,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.9766153846153847,1.9877362637362639,1.9896703296703298,1.9640439560439562,0.6621320343559642
5,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[0, 1], [0, 1], [1, 1], [0, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [1, 1], [0, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [0, 1]]",-7,-3,0,-1,8,-16,18,1,2,4,1.9706520146520148,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.9753260073260075,1.9883809523809526,2.0011135531135533,1.9437362637362638,0.5621320343559641
6,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[0, 1], [0, 1], [0, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [0, 1], [1, 1], [0, 1]]",-7,-4,0,-1,8,-16,17,1,2,5,1.9711355311355312,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.97178021978022,1.9882197802197803,2.0011135531135533,1.9480879120879122,0.4914213562373095
7,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[1, 1], [0, 1], [0, 1], [1, 1], [0, 1], [1, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [1, 1], [1, 1], [1, 1], [0, 1], [1, 1], [0, 1], [0, 1], [1, 1], [1, 1]]",-6,-5,0,-2,9,-16,16,0,3,6,1.9696849816849817,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.9701684981684984,1.9854798534798537,1.9891868131868133,1.9708131868131868,0.7621320343559642
8,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[0, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [0, 1], [0, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1]]",-6,-5,0,-1,9,-16,16,1,3,7,1.9704908424908427,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.9745201465201467,1.9814505494505497,1.9854798534798537,1.9661391941391944,0.6121320343559643
9,"[[0, 1], [0, 1], [1, 0], [1, 0], [1, 0], [1, 0], [0, 1], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1], [0, 1], [1, 0], [0, 1]]","[[1, 1], [0, 1], [1, 1], [0, 1], [1, 1], [0, 1], [0, 1], [1, 1], [1, 1], [1, 1], [0, 1], [1, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1], [1, 1], [1, 1]]",-6,-5,0,-1,9,-16,16,1,4,8,1.970007326007326,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.9754871794871796,1.9827399267399268,1.9986959706959708,1.944864468864469,0.7621320343559642
